"sps","decimalLongitude","decimalLatitude","Occurrence","Type"
"Abrothrix jelskii",-69.73426,-14.25466,1,"Presence"
"Abrothrix jelskii",-70.03345,-16.75,1,"Presence"
"Abrothrix jelskii",-69.71158,-14.20124,1,"Presence"
"Abrothrix jelskii",-77.6426,-9.56042,1,"Presence"
"Abrothrix jelskii",-71.384511,-15.982513,1,"Presence"
"Abrothrix jelskii",-71.414833,-15.597633,1,"Presence"
"Abrothrix jelskii",-69.688889,-14.16224,1,"Presence"
"Abrothrix jelskii",-71.05495,-15.91951,1,"Presence"
"Abrothrix jelskii",-69.71725,-14.21458,1,"Presence"
"Abrothrix jelskii",-70.833333,-16.033333,1,"Presence"
"Abrothrix jelskii",-71.810596,-15.191953,1,"Presence"
"Abrothrix jelskii",-69.933333,-15.033333,1,"Presence"
"Abrothrix jelskii",-74.33921,-14.61699,1,"Presence"
"Abrothrix jelskii",-70.29598,-14.55194,1,"Presence"
"Abrothrix jelskii",-70.23829,-14.28693,1,"Presence"
"Abrothrix jelskii",-70.15,-15.93356,1,"Presence"
"Abrothrix jelskii",-69.76147,-17.02108,1,"Presence"
"Abrothrix jelskii",-76.61337,-11.086667,1,"Presence"
"Abrothrix jelskii",-69.90507,-14.96565,1,"Presence"
"Abrothrix jelskii",-70.51015,-13.85901,1,"Presence"
"Abrothrix jelskii",-75.56667,-11.73333,1,"Presence"
"Abrothrix jelskii",-69.73333,-16.99578,1,"Presence"
"Abrothrix jelskii",-76.16325,-10.58105,1,"Presence"
"Abrothrix jelskii",-70.03333,-15.81887,1,"Presence"
"Abrothrix jelskii",-70.35,-14.85606,1,"Presence"
"Abrothrix jelskii",-70.5558,-15.86667,1,"Presence"
"Abrothrix jelskii",-69.666667,-16.43034,1,"Presence"
"Abrothrix jelskii",-69.32646,-16.24111,1,"Presence"
"Abrothrix jelskii",-69.4226,-16.2027,1,"Presence"
"Abrothrix jelskii",-69.88339,-16.75,1,"Presence"
"Abrothrix jelskii",-75.87967,-11.38267,1,"Presence"
"Abrothrix jelskii",-70.36467,-15.10303,1,"Presence"
"Abrothrix jelskii",-69.82185,-14.27806,1,"Presence"
"Abrothrix jelskii",-69.66667,-16.58035,1,"Presence"
"Abrothrix jelskii",-69.99027,-14.77329,1,"Presence"
"Abrothrix jelskii",-76.591389,-11.05774,1,"Presence"
"Abrothrix jelskii",-70.71931,-14.68505,1,"Presence"
"Abrothrix jelskii",-68.083333,-16.116667,1,"Presence"
"Abrothrix jelskii",-70.76147,-15.83333,1,"Presence"
"Abrothrix jelskii",-70.79881,-15.83333,1,"Presence"
"Abrothrix jelskii",-73.40728,-14.43672,1,"Presence"
"Abrothrix jelskii",-73.51213,-14.53897,1,"Presence"
"Abrothrix jelskii",-69.65214,-14.59155,1,"Presence"
"Abrothrix jelskii",-74.03485,-14.60414,1,"Presence"
"Abrothrix jelskii",-70.19283,-14.32108,1,"Presence"
"Abrothrix jelskii",-73.83309,-14.57895,1,"Presence"
"Abrothrix jelskii",-68.12667,-16.195,1,"Presence"
"Abrothrix jelskii",-68.783333,-17.816668,1,"Presence"
"Abrothrix jelskii",-71.76667,-15.2,1,"Presence"
"Abrothrix jelskii",-69.98333,-15.95,1,"Presence"
"Abrothrix jelskii",-70.400001,-14.95,1,"Presence"
"Abrothrix jelskii",-69.333336,-16.633333,1,"Presence"
"Abrothrix jelskii",-69.083336,-16.266666,1,"Presence"
"Abrothrix jelskii",-76.033333,-10.916667,1,"Presence"
"Abrothrix jelskii",-70.433334,-14.766666,1,"Presence"
"Abrothrix jelskii",-70.599998,-15.7,1,"Presence"
"Abrothrix jelskii",-69.666664,-16.083334,1,"Presence"
"Abrothrix jelskii",-69.800003,-14.55,1,"Presence"
"Abrothrix jelskii",-70.25,-14.333333,1,"Presence"
"Abrothrix jelskii",-71.640892,-15.31587,1,"Presence"
"Abrothrix jelskii",-71.616669,-15.616666,1,"Presence"
"Abrothrix jelskii",-70.916664,-13.5,1,"Presence"
"Abrothrix jelskii",-75.083336,-13.2,1,"Presence"
"Abrothrix jelskii",-70.300003,-16.1,1,"Presence"
"Abrothrix jelskii",-70.13333,-16.78333,1,"Presence"
"Abrothrix jelskii",-71.45819,-15.48878,1,"Presence"
"Abrothrix jelskii",-70.08302,-16.64208,1,"Presence"
"Abrothrix jelskii",-69.72106,-16.15773,1,"Presence"
"Abrothrix jelskii",-71.46446,-15.49366,1,"Presence"
"Abrothrix jelskii",-75.033333,-12.766666,1,"Presence"
"Abrothrix jelskii",-69.451389,-16.554444,1,"Presence"
"Abrothrix jelskii",-75.219,-11.917,1,"Presence"
"Abrothrix jelskii",-71.197,-16.197,1,"Presence"
"Abrothrix jelskii",-65.393849,-22.442356,1,"Presence"
"Abrothrix jelskii",-76.116667,-11.65,1,"Presence"
"Abrothrix jelskii",-68.420858,-16.963308,1,"Presence"
"Abrothrix jelskii",-68.246176,-16.197519,1,"Presence"
"Abrothrix jelskii",-70.542914,-13.9171,1,"Presence"
"Abrothrix jelskii",-68.13773,-16.275542,1,"Presence"
"Abrothrix jelskii",-69.768397,-14.61595,1,"Presence"
"Abrothrix jelskii",-71.501209,-15.740899,1,"Presence"
"Abrothrix jelskii",-71.298153,-13.857592,1,"Presence"
"Abrothrix jelskii",-67.96667,-16.31667,1,"Presence"
"Abrothrix jelskii",-68.11667,-16.2,1,"Presence"
"Abrothrix jelskii",-65.8958333333333,-17.5625,0,"Pseudo-absence"
"Abrothrix jelskii",-75.0208333333333,-10.0625,0,"Pseudo-absence"
"Abrothrix jelskii",-76.9791666666667,-10.0625,0,"Pseudo-absence"
"Abrothrix jelskii",-67.2291666666667,-17.3958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-70.8125,-16.8541666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-67.2708333333333,-17.1875,0,"Pseudo-absence"
"Abrothrix jelskii",-72.7708333333333,-15.7708333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-72.1875,-14.5625,0,"Pseudo-absence"
"Abrothrix jelskii",-67.5625,-15.5625,0,"Pseudo-absence"
"Abrothrix jelskii",-69.2708333333333,-15.3125,0,"Pseudo-absence"
"Abrothrix jelskii",-65.0625,-23.8958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-67.4791666666667,-21.5625,0,"Pseudo-absence"
"Abrothrix jelskii",-65.9791666666667,-23.6458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-69.1458333333333,-18.1041666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-69.3958333333333,-17.4375,0,"Pseudo-absence"
"Abrothrix jelskii",-65.0625,-23.6458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-72.0208333333333,-15.6041666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-66.9375,-19.9375,0,"Pseudo-absence"
"Abrothrix jelskii",-75.2291666666667,-10.8541666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-70.7291666666667,-16.6041666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-66.1041666666667,-21.6875,0,"Pseudo-absence"
"Abrothrix jelskii",-65.1875,-21.7291666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-68.6458333333333,-19.3541666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-75.8958333333333,-9.6875,0,"Pseudo-absence"
"Abrothrix jelskii",-72.4375,-12.6458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-75.1041666666667,-10.6875,0,"Pseudo-absence"
"Abrothrix jelskii",-65.7708333333333,-17.7291666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-69.1041666666667,-15.6458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-67.0208333333333,-21.1041666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-66.1875,-18.3125,0,"Pseudo-absence"
"Abrothrix jelskii",-68.4375,-22.1458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-71.6875,-13.9791666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-72.7708333333333,-13.9375,0,"Pseudo-absence"
"Abrothrix jelskii",-66.1041666666667,-17.9791666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-65.3541666666667,-17.4375,0,"Pseudo-absence"
"Abrothrix jelskii",-71.8541666666667,-13.7291666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-75.1041666666667,-10.8958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-67.2291666666667,-16.9791666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-66.0625,-17.4375,0,"Pseudo-absence"
"Abrothrix jelskii",-72.5625,-13.8958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-67.1041666666667,-22.0208333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-65.2291666666667,-23.9375,0,"Pseudo-absence"
"Abrothrix jelskii",-72.3958333333333,-13.4791666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-71.6458333333333,-13.1458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-66.4375,-18.6875,0,"Pseudo-absence"
"Abrothrix jelskii",-66.6875,-17.9791666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-69.4375,-17.0625,0,"Pseudo-absence"
"Abrothrix jelskii",-69.6875,-17.8541666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-72.4375,-12.8541666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-66.0625,-16.9791666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-72.3125,-13.2291666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-65.0625,-23.1458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-68.2291666666667,-22.0625,0,"Pseudo-absence"
"Abrothrix jelskii",-65.3125,-19.0625,0,"Pseudo-absence"
"Abrothrix jelskii",-72.1458333333333,-16.4375,0,"Pseudo-absence"
"Abrothrix jelskii",-69.3125,-17.3541666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-71.6458333333333,-13.2291666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-75.1875,-10.8958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-73.5208333333333,-15.3958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-72.2291666666667,-12.6458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-66.4375,-16.8541666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-68.9375,-18.6875,0,"Pseudo-absence"
"Abrothrix jelskii",-67.1041666666667,-16.8125,0,"Pseudo-absence"
"Abrothrix jelskii",-66.6458333333333,-18.3125,0,"Pseudo-absence"
"Abrothrix jelskii",-74.7291666666667,-11.2708333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-66.1458333333333,-16.7291666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-72.3541666666667,-13.1458333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-67.2708333333333,-16.6875,0,"Pseudo-absence"
"Abrothrix jelskii",-66.3958333333333,-22.0208333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-65.4791666666667,-23.6041666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-67.9375,-21.6875,0,"Pseudo-absence"
"Abrothrix jelskii",-72.3541666666667,-13.1875,0,"Pseudo-absence"
"Abrothrix jelskii",-64.8125,-23.3958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-65.2708333333333,-23.2708333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-69.0625,-17.5625,0,"Pseudo-absence"
"Abrothrix jelskii",-66.0208333333333,-16.5208333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-69.2291666666667,-18.3958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-73.1458333333333,-13.7291666666667,0,"Pseudo-absence"
"Abrothrix jelskii",-71.2708333333333,-12.5625,0,"Pseudo-absence"
"Abrothrix jelskii",-74.2291666666667,-13.8958333333333,0,"Pseudo-absence"
"Abrothrix jelskii",-76.4791666666667,-12.1875,0,"Pseudo-absence"
"Abrothrix jelskii",-67.3125,-17.0625,0,"Pseudo-absence"
"Abrothrix jelskii",-69.2291666666667,-18.5625,0,"Pseudo-absence"
"Abrothrix jelskii",-65.1458333333333,-17.9375,0,"Pseudo-absence"
